ORIGIN;;DESTINATION;;TTE;;20' E;20' (< 8tn);20' (< 16,5tn);20' (< 22tn);20' (< 32tn);20' (> 32tn);25' E;25' (< 8tn);25' (< 16,5tn);25' (< 22tn);25' (< 32tn);25' (> 32tn);30' E;30' (< 8tn);30' (< 16,5tn);30' (< 22tn);30' (< 32tn);30' (> 32tn);40' E;40' (< 8tn);40' (< 16,5tn);40' (< 22tn);40' (< 32tn);40'(> 32tn);45' E;45' (< 8tn);45' (< 16,5tn);45' (< 22tn);45' (< 32tn);45' (> 32tn);BOOKING FEE;;;;
BETTEMBOURG;FOT;LE BOLOU AMBROGGIO;FOT;2;5;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;665;665;665;665;665;665;665;665;665;665;665;665;;;;;
LE BOLOU AMBROGGIO;FOT;BETTEMBOURG;FOT;2;5;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;510;665;665;665;665;665;665;665;665;665;665;665;665;;;;;
ANTWERPEN COMBINANT;FOT;LE BOLOU AMBROGGIO;FOT;2;5;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;890;890;890;890;890;890;890;890;890;890;890;890;;;;;
LE BOLOU AMBROGGIO;FOT;ANTWERPEN COMBINANT;FOT;2;5;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;710;890;890;890;890;890;890;890;890;890;890;890;890;;;;;
BETTEMBOURG;FOT;ANTWERPEN COMBINANT;FOT;2;5;210;210;210;210;210;210;265;265;265;265;265;265;265;265;265;265;265;265;325;325;325;325;325;325;365;365;365;365;365;365;;;;;
ANTWERPEN COMBINANT;FOT;BETTEMBOURG;FOT;2;5;210;210;210;210;210;210;265;265;265;265;265;265;265;265;265;265;265;265;325;325;325;325;325;325;365;365;365;365;365;365;;;;;
ANTWERPEN COMBINANT;FOT;LYON PEH;FOT;2;6;395;395;395;395;395;395;485;485;485;485;485;485;485;485;485;485;485;485;585;585;585;585;585;585;665;665;665;665;665;665;;;;;
LYON PEH;FOT;ANTWERPEN COMBINANT;FOT;2;6;395;395;395;395;395;395;485;485;485;485;485;485;485;485;485;485;485;485;585;585;585;585;585;585;665;665;665;665;665;665;;;;;
BETTEMBOURG;FOT;LYON PEH;FOT;2;6;255;255;255;255;255;255;335;335;335;335;335;335;335;335;335;335;335;335;395;395;395;395;395;395;425;425;425;425;425;425;;;;;
LYON PEH;FOT;BETTEMBOURG;FOT;2;6;255;255;255;255;255;255;335;335;335;335;335;335;335;335;335;335;335;335;395;395;395;395;395;395;425;425;425;425;425;425;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MULTIRAIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F (<21 tn);20' F (<21 tn);20' F (<21 tn);20' F (21 a 32 tn);;;;;;;;30' E;30' F;30' F;30' F;30' F;30' F;40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;;;;;
BARCELONA MORROT;FOT;CÓRDOBA EL HIGUERÓN;FOT;2;3;288;432;432;432;480;;;;;;;;336;480;480;480;480;480;370;528;528;528;528;528;480;600;600;600;600;600;30;;;;
BARCELONA MORROT;FOT;SAN ROQUE;FOT;3;3;398;596,7;596,7;596,7;663;;;;;;;;464;663;663;663;663;663;511;729;729;729;729;729;663;829;829;829;829;829;30;;;;
BARCELONA MORROT;FOT;SEVILLA LA NEGRILLA;FOT;2;3;330;495;495;495;550;;;;;;;;385;550;550;550;550;550;424;605;605;605;605;605;550;688;688;688;688;688;30;;;;
TARRAGONA ENTREVÍAS;FOT;CÓRDOBA EL HIGUERÓN;FOT;2;ON DEMAND;270;405;405;405;450;;;;;;;;315;450;450;450;450;450;347;495;495;495;495;495;450;563;563;563;563;563;30;;;;
TARRAGONA ENTREVÍAS;FOT;SAN ROQUE;FOT;3;3;378;567;567;567;630;;;;;;;;441;630;630;630;630;630;485;693;693;693;693;693;630;788;788;788;788;788;30;;;;
TARRAGONA ENTREVÍAS;FOT;SEVILLA LA NEGRILLA;FOT;2;ON DEMAND;306;459;459;459;510;;;;;;;;357;510;510;510;510;510;393;561;561;561;561;561;510;638;638;638;638;638;30;;;;
SAN ROQUE;FOT;BARCELONA MORROT;FOT;3;3;347;520,2;520,2;520,2;578;;;;;;;;405;578;578;578;578;578;445;636;636;636;636;636;578;723;723;723;723;723;30;;;;
SAN ROQUE;FOT;TARRAGONA ENTREVÍAS;FOT;3;3;334;501,3;501,3;501,3;557;;;;;;;;390;557;557;557;557;557;429;613;613;613;613;613;557;696;696;696;696;696;30;;;;
CÓRDOBA EL HIGUERÓN;FOT;BARCELONA MORROT;FOT;2;3;288;432;432;432;480;;;;;;;;336;480;480;480;480;480;370;528;528;528;528;528;480;600;600;600;600;600;30;;;;
CÓRDOBA EL HIGUERÓN;FOT;TARRAGONA ENTREVÍAS;FOT;1;ON DEMAND;270;405;405;405;450;;;;;;;;315;450;450;450;450;450;347;495;495;495;495;495;450;563;563;563;563;563;30;;;;
SEVILLA LA NEGRILLA;FOT;BARCELONA MORROT;FOT;4;3;300;450;450;450;500;;;;;;;;350;500;500;500;500;500;385;550;550;550;550;550;500;625;625;625;625;625;30;;;;
SEVILLA LA NEGRILLA;FOT;TARRAGONA ENTREVÍAS;FOT;3;ON DEMAND;276;414;414;414;460;;;;;;;;322;460;460;460;460;460;354;506;506;506;506;506;460;575;575;575;575;575;30;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOVATRANS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' (0 a 7,99 tn);20' (0 a 7,99 tn);20' (8 a 21,99 tn);20' (8 a 21,99 tn);20' (22 a 33,49 tn);20' (<33,49 tn);25' (0 a 7,99 tn);25' (0 a 7,99 tn);25' (8 a 21,99 tn);25' (8 a 21,99 tn);25' (22 a 33,49 tn);25' (<33,49 tn);30' (0 a 7,99 tn);30' (0 a 7,99 tn);30' (8 a 21,99 tn);30' (8 a 21,99 tn);30' (22 a 33,49 tn);30' (<33,49 tn);40' (0 a 7,99 tn);40' (0 a 7,99 tn);40' (8 a 21,99 tn);40' (8 a 21,99 tn);40' (22 a 33,49 tn);40' (<33,49 tn);45' (0 a 7,99 tn);45' (8 a 21,99 tn);45' (8 a 21,99 tn);45' (22 a 33,49 tn);45' (22 a 33,49 tn);45' (<33,49 tn);;;;;
PERPIGNAN;FOT;DOURGES LDCT;FOT;2;7;450;450;560;560;560;560;450;450;600;600;600;600;495;495;710;710;710;740;495;495;710;710;710;740;710;710;710;710;710;740;;;;;
PERPIGNAN;FOT;PARIS VALENTON;FOT;2;5;457;457;558;558;558;558;457;457;558;558;558;558;477;477;670;670;670;700;477;477;670;670;670;700;670;670;670;670;670;700;;;;;
PERPIGNAN;FOT;TOULOUSE FENOUILLET;FOT;2;5;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;;;;;
LYON VÉNISSIEUX;FOT;DOURGES LDCT;FOT;2;5;386;386;487;487;487;487;386;386;487;487;487;487;396;396;518;518;518;518;396;396;518;518;518;518;518;518;518;518;518;518;;;;;
BAYONNE MOUGUERRE;FOT;DOURGES LDCT;FOT;2;4;416;416;700;700;700;700;416;416;700;700;700;700;416;416;700;700;700;700;416;416;700;700;700;700;700;700;700;700;700;700;;;;;
DOURGES LDCT;FOT;PERPIGNAN;FOT;2;7;450;450;560;560;560;560;450;450;600;600;600;600;495;495;710;710;710;740;495;495;710;710;710;740;710;710;710;710;710;740;;;;;
PARIS VALENTON;FOT;PERPIGNAN;FOT;2;5;457;457;558;558;558;558;457;457;558;558;558;558;477;477;670;670;670;700;477;477;670;670;670;700;670;670;670;670;670;700;;;;;
TOULOUSE FENOUILLET;FOT;PERPIGNAN;FOT;2;5;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;157;;;;;
DOURGES LDCT;FOT;LYON VÉNISSIEUX;FOT;2;5;386;386;487;487;487;487;386;386;487;487;487;487;396;396;518;518;518;518;396;396;518;518;518;518;518;518;518;518;518;518;;;;;
DOURGES LDCT;FOT;BAYONNE MOUGUERRE;FOT;2;4;416;416;700;700;700;700;416;416;700;700;700;700;416;416;700;700;700;700;416;416;700;700;700;700;700;700;700;700;700;700;;;;;
BAYONNE MOUGUERRE;FOT;PARIS VALENTON;FOT;2;5;390;390;490;490;490;490;;;;;;;390;390;490;490;490;490;480;480;550;550;550;550;480;480;550;550;550;550;;;;;
PARIS VALENTON;FOT;BAYONNE MOUGUERRE;FOT;2;5;390;390;490;490;490;490;;;;;;;390;390;490;490;490;490;480;480;550;550;550;550;480;480;550;550;550;550;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAILLINER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F;20' F;;;;;;;30' E;30' F;30' F;30' F;30' F;30' F;40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;;;;;
PERPIGNAN;FOT;FOS AMATO;FOT;2;3;146;146;146;146;146;146;;;;;;;180;180;180;180;180;180;213;213;213;213;213;213;243;243;243;243;243;243;;;;;
PERPIGNAN;FOT;MARSEILLE CANET;FOT;2;3;229;229;229;229;229;229;;;;;;;255;255;255;255;255;255;377;377;377;377;377;377;407;407;407;407;407;407;;;;;
FOS AMATO;FOT;PERPIGNAN;FOT;2;3;146;146;146;146;146;146;;;;;;;180;180;180;180;180;180;213;213;213;213;213;213;243;243;243;243;243;243;;;;;
MARSEILLE CANET;FOT;PERPIGNAN;FOT;2;3;229;229;229;229;229;229;;;;;;;255;255;255;255;255;255;377;377;377;377;377;377;407;407;407;407;407;407;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' E;20' F;20' F;20' F;20' F;20' F;;;;;;;30' E;30' F;30' F;30' F;30' F;30' F;40' E;40' F;40' F;40' F;40' F;40' F;45' E;45' F;45' F;45' F;45' F;45' F;;;;;
LE BOLOU AMBROGGIO;FOR;ANTWERPEN COMBINANT;FOR;3;5;592;792;792;792;792;792;;;;;;;727;820;820;820;820;820;857;909;909;909;909;909;857;909;909;909;909;909;;;;;
LE BOLOU AMBROGGIO;FOR;BETTEMBOURG;FOR;2;11;395;522;522;522;522;522;;;;;;;420;543;543;543;543;543;550;672;672;672;672;672;550;672;672;672;672;672;;;;;
ANTWERPEN COMBINANT;FOR;LE BOLOU AMBROGGIO;FOR;3;5;592;792;792;792;792;792;;;;;;;727;820;820;820;820;820;857;909;909;909;909;909;857;909;909;909;909;909;;;;;
BETTEMBOURG;FOR;LE BOLOU AMBROGGIO;FOR;2;9;395;522;522;522;522;522;;;;;;;420;543;543;543;543;543;550;672;672;672;672;672;550;672;672;672;672;672;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KOMBIVERKEHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORIGIN;INC;DESTINATION;INC;TTE;FREQUENCE;20' F (< 8tn);20' F (< 8tn);20' F (< 16,5tn);20' F (< 22tn);20' F (< 32tn);20' F (> 32tn);;;;;;;30' F (< 8tn);30' F (< 8tn);30' F (< 16,5tn);30' F (< 22tn);30' F (< 32tn);30' F (> 32tn);40' F (< 8tn);40' F (< 8tn);40' F (< 16,5tn);40' F (< 22tn);40' F (< 32tn);40' F (> 32tn);45' F (< 8tn);45' F (< 8tn);45' F (< 16,5tn);45' F (< 22tn);45' F (< 32tn);45' F (> 32tn);;;;;
ANTWERPEN COMBINANT;FOT;DUISBURG RUHRORT HAFEN;FOT;2;3;161;161;178;210;242;295;;;;;;;189;189;199;242;242;295;250;250;250;255;263;306;263;263;274;295;295;338;;;;;
ANTWERPEN COMBINANT;FOT;HAMBURG BILLWERDER;FOT;3;3;324;324;341;470;502;555;;;;;;;434;434;444;554;554;607;575;575;575;580;588;631;588;588;599;620;620;663;;;;;
ANTWERPEN COMBINANT;FOT;LUDWIGSHAFEN;FOT;3;3;363;363;380;485;517;570;;;;;;;464;464;474;563;563;616;597;597;597;602;610;653;610;610;621;642;642;685;;;;;
ANTWERPEN COMBINANT;FOT;MÜNCHEN RIEM;FOT;3;3;465;465;482;643;675;728;;;;;;;622;622;632;755;755;808;813;813;813;818;826;869;826;826;837;858;858;901;;;;;
DUISBURG RUHRORT HAFEN;FOT;ANTWERPEN COMBINANT;FOT;2;3;161;161;178;210;242;295;;;;;;;189;189;199;242;242;295;250;250;250;255;263;306;263;263;274;295;295;338;;;;;
HAMBURG BILLWERDER;FOT;ANTWERPEN COMBINANT;FOT;4;5;324;324;341;470;502;555;;;;;;;434;434;444;554;554;607;575;575;575;580;588;631;588;588;599;620;620;663;;;;;
LUDWIGSHAFEN;FOT;ANTWERPEN COMBINANT;FOT;4;5;363;363;380;485;517;570;;;;;;;464;464;474;563;563;616;597;597;597;602;610;653;610;610;621;642;642;685;;;;;
MÜNCHEN RIEM;FOT;ANTWERPEN COMBINANT;FOT;4;5;465;465;482;643;675;728;;;;;;;622;622;632;755;755;808;813;813;813;818;826;869;826;826;837;858;858;901;;;;;
DUISBURG RUHRORT HAFEN;FOT;GRANOLLERS;FOT;4;6;768;768;872;1027;1171;1345;;;;;;;947;947;997;1193;1218;1392;1191;1191;1191;1291;1341;1540;1283;1283;1333;1532;1582;1612;;;;;
DUISBURG RUHRORT HAFEN;FOT;MADRID ABROÑIGAL;FOT;6;6;868;868;1013;1192;1389;1610;;;;;;;1088;1088;1153;1396;1436;1657;1374;1374;1374;1504;1570;1831;1470;1470;1535;1797;1862;1901;;;;;
DUISBURG RUHRORT HAFEN;FOT;MURCIA;FOT;8;5;973;973;1156;1358;1604;1868;;;;;;;1231;1231;1310;1596;1651;1915;1559;1559;1559;1719;1798;2117;1670;1670;1750;2068;2148;2196;;;;;
DUISBURG RUHRORT HAFEN;FOT;SAN ROQUE;FOT;8;6;1063;1063;1277;1499;1786;2086;;;;;;;1352;1352;1444;1766;1833;2133;1717;1717;1717;1901;1993;2360;1840;1840;1932;2299;2391;2446;;;;;
DUISBURG RUHRORT HAFEN;FOT;SEVILLA LA NEGRILLA;FOT;8;6;1026;1026;1227;1441;1711;1996;;;;;;;1302;1302;1389;1696;1758;2043;1652;1652;1652;1826;1913;2260;1770;1770;1857;2204;2291;2343;;;;;
DUISBURG RUHRORT HAFEN;FOT;TARRAGONA CONSTANTÍ;FOT;4;6;794;794;908;1068;1224;1409;;;;;;;983;983;1036;1243;1271;1456;1239;1239;1239;1344;1398;1611;1333;1333;1386;1600;1653;1685;;;;;
DUISBURG RUHRORT HAFEN;FOT;VALENCIA SILLA;FOT;8;6;939;939;1109;1303;1533;1783;;;;;;;1184;1184;1258;1530;1580;1830;1498;1498;1498;1648;1723;2023;1604;1604;1679;1979;2054;2099;;;;;
DUISBURG RUHRORT HAFEN;FOT;VIGO GUIXAR;FOT;8;6;1002;1002;1195;1403;1662;1938;;;;;;;1270;1270;1353;1651;1709;1985;1610;1610;1610;1777;1861;2195;1725;1725;1808;2142;2226;2276;;;;;
DUISBURG RUHRORT HAFEN;FOT;ZARAGOZA PLAZA;FOT;8;6;853;853;993;1169;1360;1575;;;;;;;1068;1068;1131;1369;1407;1622;1348;1348;1348;1475;1538;1792;1443;1443;1506;1760;1823;1861;;;;;
GRANOLLERS;FOT;DUISBURG RUHRORT HAFEN;FOT;4;5;768;768;872;1027;1171;1345;;;;;;;947;947;997;1193;1218;1392;1191;1191;1191;1291;1341;1540;1283;1283;1333;1532;1582;1612;;;;;
MADRID ABROÑIGAL;FOT;DUISBURG RUHRORT HAFEN;FOT;6;5;868;868;1013;1192;1389;1610;;;;;;;1088;1088;1153;1396;1436;1657;1374;1374;1374;1504;1570;1831;1470;1470;1535;1797;1862;1901;;;;;
MURCIA;FOT;DUISBURG RUHRORT HAFEN;FOT;8;2;973;973;1156;1358;1604;1868;;;;;;;1231;1231;1310;1596;1651;1915;1559;1559;1559;1719;1798;2117;1670;1670;1750;2068;2148;2196;;;;;
SAN ROQUE;FOT;DUISBURG RUHRORT HAFEN;FOT;7;3;1063;1063;1277;1499;1786;2086;;;;;;;1352;1352;1444;1766;1833;2133;1717;1717;1717;1901;1993;2360;1840;1840;1932;2299;2391;2446;;;;;
SEVILLA LA NEGRILLA;FOT;DUISBURG RUHRORT HAFEN;FOT;7;3;1026;1026;1227;1441;1711;1996;;;;;;;1302;1302;1389;1696;1758;2043;1652;1652;1652;1826;1913;2260;1770;1770;1857;2204;2291;2343;;;;;
TARRAGONA CONSTANTÍ;FOT;DUISBURG RUHRORT HAFEN;FOT;4;5;794;794;908;1068;1224;1409;;;;;;;983;983;1036;1243;1271;1456;1239;1239;1239;1344;1398;1611;1333;1333;1386;1600;1653;1685;;;;;
VALENCIA SILLA;FOT;DUISBURG RUHRORT HAFEN;FOT;7;3;939;939;1109;1303;1533;1783;;;;;;;1184;1184;1258;1530;1580;1830;1498;1498;1498;1648;1723;2023;1604;1604;1679;1979;2054;2099;;;;;
VIGO GUIXAR;FOT;DUISBURG RUHRORT HAFEN;FOT;9;3;1002;1002;1195;1403;1662;1938;;;;;;;1270;1270;1353;1651;1709;1985;1610;1610;1610;1777;1861;2195;1725;1725;1808;2142;2226;2276;;;;;
ZARAGOZA PLAZA;FOT;DUISBURG RUHRORT HAFEN;FOT;7;3;853;853;993;1169;1360;1575;;;;;;;1068;1068;1131;1369;1407;1622;1348;1348;1348;1475;1538;1792;1443;1443;1506;1760;1823;1861;;;;;
HAMBURG BILLWERDER;FOT;GRANOLLERS;FOT;4;6;760;760;872;1047;1201;1384;;;;;;;963;963;1016;1225;1253;1436;1230;1230;1230;1335;1388;1598;1324;1324;1377;1597;1640;1672;;;;;
HAMBURG BILLWERDER;FOT;MADRID ABROÑIGAL;FOT;6;6;864;864;1018;1219;1428;1659;;;;;;;1109;1109;1178;1436;1480;1711;1419;1419;1419;1557;1625;1900;1519;1519;1588;1862;1931;1972;;;;;
HAMBURG BILLWERDER;FOT;MURCIA;FOT;8;5;971;971;1163;1387;1644;1919;;;;;;;1254;1254;1337;1638;1696;1971;1607;1607;1607;1773;1856;2189;1721;1721;1804;2139;2220;2270;;;;;
HAMBURG BILLWERDER;FOT;SAN ROQUE;FOT;8;6;1062;1062;1286;1529;1829;2140;;;;;;;1377;1377;1472;1810;1881;2192;1767;1767;1767;1958;2053;2435;1893;1893;1989;2371;2466;2523;;;;;
HAMBURG BILLWERDER;FOT;SEVILLA LA NEGRILLA;FOT;8;6;1027;1027;1238;1474;1758;2055;;;;;;;1329;1329;1420;1744;1810;2107;1705;1705;1705;1887;1977;2340;1827;1827;1918;2280;2371;2425;;;;;
HAMBURG BILLWERDER;FOT;TARRAGONA CONSTANTÍ;FOT;4;6;790;790;913;1094;1262;1457;;;;;;;1004;1004;1060;1282;1314;1509;1282;1282;1282;1396;1452;1679;1381;1381;1438;1664;1721;1755;;;;;
HAMBURG BILLWERDER;FOT;VALENCIA SILLA;FOT;9;6;938;938;1118;1334;1577;1838;;;;;;;1209;1209;1287;1575;1629;1890;1548;1548;1548;1706;1784;2099;1658;1658;1737;2051;2130;2177;;;;;
HAMBURG BILLWERDER;FOT;VIGO GUIXAR;FOT;9;6;1001;1001;1203;1433;1704;1991;;;;;;;1294;1294;1381;1694;1756;2043;1659;1659;1659;1833;1920;2269;1777;1777;1864;2213;2300;2352;;;;;
HAMBURG BILLWERDER;FOT;ZARAGOZA PLAZA;FOT;8;6;851;851;1000;1197;1400;1625;;;;;;;1091;1091;1157;1410;1452;1677;1395;1395;1395;1529;1596;1863;1493;1493;1560;1827;1894;1934;;;;;
GRANOLLERS;FOT;HAMBURG BILLWERDER;FOT;4;5;760;760;872;1047;1201;1384;;;;;;;963;963;1016;1225;1253;1436;1230;1230;1230;1335;1388;1598;1324;1324;1377;1597;1640;1672;;;;;
MADRID ABROÑIGAL;FOT;HAMBURG BILLWERDER;FOT;6;5;864;864;1018;1219;1428;1659;;;;;;;1109;1109;1178;1436;1480;1711;1419;1419;1419;1557;1625;1900;1519;1519;1588;1862;1931;1972;;;;;
MURCIA;FOT;HAMBURG BILLWERDER;FOT;8;2;971;971;1163;1387;1644;1919;;;;;;;1254;1254;1337;1638;1696;1971;1607;1607;1607;1773;1856;2189;1721;1721;1804;2139;2220;2270;;;;;
SAN ROQUE;FOT;HAMBURG BILLWERDER;FOT;7;3;1062;1062;1286;1529;1829;2140;;;;;;;1377;1377;1472;1810;1881;2192;1767;1767;1767;1958;2053;2435;1893;1893;1989;2371;2466;2523;;;;;
SEVILLA LA NEGRILLA;FOT;HAMBURG BILLWERDER;FOT;7;3;1027;1027;1238;1474;1758;2055;;;;;;;1329;1329;1420;1744;1810;2107;1705;1705;1705;1887;1977;2340;1827;1827;1918;2280;2371;2425;;;;;
TARRAGONA CONSTANTÍ;FOT;HAMBURG BILLWERDER;FOT;4;5; ;790;913;1094;1262;1457;;;;;;;1004;1004;1060;1282;1314;1509;1282;1282;1282;1396;1452;1679;1381;1381;1438;1664;1721;1755;;;;;
VALENCIA SILLA;FOT;HAMBURG BILLWERDER;FOT;7;3;938;938;1118;1334;1577;1838;;;;;;;1209;1209;1287;1575;1629;1890;1548;1548;1548;1706;1784;2099;1658;1658;1737;2051;2130;2177;;;;;
VIGO GUIXAR;FOT;HAMBURG BILLWERDER;FOT;9;3;1001;1001;1203;1433;1704;1991;;;;;;;1294;1294;1381;1694;1756;2043;1659;1659;1659;1833;1920;2269;1777;1777;1864;2213;2300;2352;;;;;
ZARAGOZA PLAZA;FOT;HAMBURG BILLWERDER;FOT;7;3;851;851;1000;1197;1400;1625;;;;;;;1091;1091;1157;1410;1452;1677;1395;1395;1395;1529;1596;1863;1493;1493;1560;1827;1894;1934;;;;;
